Instruction ID; goal; goal x-position; goal y-position; farthest reached x; farthest reached y; overshoot (percentage); time to reach goal; trial contains deviation; deviation goal; deviation goal x; deviation goal y
1;Devation goal 2;0,1354052;1,156974;0,1459493;1,157506;1,079461;1,288993;False;;;
2;Devation goal -3;-0,171848;1,144092;-0,1800974;1,149372;1,028821;1,527913;False;;;
3;Devation goal 3;0,1751494;1,14192;0,1783258;1,147987;1,005087;1,455514;False;;;
4;Devation goal -4;-0,2127554;1,126055;-0,2245238;1,137104;1,017053;1,686204;False;;;
5;Devation goal -3;-0,171848;1,144092;-0,1716752;1,155624;0,9724729;3,596693;False;;;
6;Devation goal 4;0,233249;1,152141;0,2224412;1,132398;1,00212;4,627617;False;;;
7;Devation goal -2;-0,1413515;1,190276;-0,1372433;1,16408;1,027986;1,409653;False;;;
8;Devation goal 4;0,233249;1,152141;0,224495;1,13196;1,010827;1,480927;False;;;
9;Devation goal -1;-0,0929426;1,209835;-0,09098907;1,172454;1,040756;1,345806;False;;;
