Instruction ID; goal; goal x-position; goal y-position; farthest reached x; farthest reached y; overshoot (percentage); time to reach goal; trial contains deviation; deviation goal; deviation goal x; deviation goal y
1;Devation goal 2;0,1355789;1,157541;0,1463413;1,163275;1,06905;1,386026;False;;;
2;Devation goal 3;0,175374;1,142462;0,183765;1,148103;1,032293;1,244296;False;;;
3;Devation goal -3;-0,1720684;1,144637;-0,1794327;1,148357;1,027587;1,280241;False;;;
4;Devation goal 3;0,175374;1,142462;0,1858609;1,148593;1,041742;1,31485;False;;;
5;Devation goal 4;0,2173019;1,122534;0,2183903;1,132613;0,9861953;1,232314;False;;;
6;Devation goal -4;-0,2130282;1,126577;-0,2172308;1,131222;1,000926;1,387514;False;;;
7;Devation goal -1;-0,08658817;1,176284;-0,0855745;1,168471;0,9887799;1,242474;False;;;
8;Devation goal -4;-0,2130282;1,126577;-0,2375;1,123642;1,095373;1,340836;False;;;
9;Devation goal -2;-0,1316874;1,158062;-0,1561068;1,153026;1,18663;1,131628;False;;;
10;Devation goal 3;0,175374;1,142462;0,203658;1,140909;1,147336;1,282351;False;;;
11;Devation goal -2;-0,1316874;1,158062;-0,1232102;1,161242;0,9338447;1,294209;False;;;
12;Devation goal -4;-0,2130282;1,126577;-0,2171786;1,133079;0,9969003;1,298981;False;;;
13;Devation goal 1;0,09240951;1,176284;0,09573113;1,168252;1,058601;1,123634;False;;;
