Instruction ID; goal; goal x-position; goal y-position; farthest reached x; farthest reached y; overshoot (percentage); time to reach goal; trial contains deviation; deviation goal; deviation goal x; deviation goal y
1;Devation goal -2;-0,1327635;1,161649;-0,1365777;1,164463;1,022461;1,768148;False;;;
2;Devation goal 1;0,09316468;1,18002;0,09395565;1,171402;1,032486;1,295494;False;;;
3;Devation goal -3;-0,1734746;1,148115;-0,1711348;1,149656;0,9818916;1,483074;False;;;
4;Devation goal 4;0,2190777;1,125831;0,2161073;1,135828;0,9709753;3,522423;False;;;
5;Devation goal -2;-0,1309541;1,155622;-0,1301529;1,153523;1,000224;13,72947;False;;;
6;Devation goal -3;-0,1711123;1,142273;-0,2039779;1,127856;1,201297;2,04985;False;;;
7;Devation goal -4;-0,2118424;1,124313;-0,2183456;1,120344;1,028293;1,634178;False;;;
8;Devation goal -3;-0,1711123;1,142273;-0,1800225;1,134814;1,060629;1,746334;False;;;
9;Devation goal 2;0,1348277;1,155127;0,182963;1,141013;1,374663;1,256664;False;;;
10;Devation goal 1;0,09189498;1,173744;0,1146144;1,158589;1,286019;1,257584;False;;;
11;Devation goal -4;-0,2118424;1,124313;-0,1988092;1,122318;0,9451788;1,46476;False;;;
12;Devation goal 4;0,2160946;1,120292;0,02890292;-0,0944;6,304174;8,213394;False;;;
13;Devation goal -4;-0,2118424;1,124313;-0,1970186;1,12268;0,9370658;2,440231;False;;;
14;Devation goal -1;-0,08610706;1,173744;-0,09011964;1,164405;1,049216;1,031471;False;;;
15;Devation goal 3;0,1743994;1,14011;0,1775103;1,156942;0,9824599;1,11618;False;;;
16;Devation goal 1;0,09189498;1,173744;0,09441659;1,172643;1,034652;0,7384033;False;;;
17;Devation goal 4;0,2160946;1,120292;0,2141159;1,137359;0,9602961;1,145851;False;;;
18;Devation goal 1;0,09189498;1,173744;0,1059355;1,169668;1,164092;0,7431107;False;;;
19;Devation goal -4;-0,2118424;1,124313;-0,2016295;1,115602;0,9706895;1,337822;False;;;
