Timestamp: 7-3-2024 14:59:21, x: 0, y: 0, z: 0, rx: 0, ry: 0, rz: 0, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:59:22, x: 0,1253958, y: 1,156395, z: 0,2207348, rx: 78,64957, ry: 334,4201, rz: 316,8563, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:59:22, x: 0,1220879, y: 1,170682, z: 0,2197193, rx: 76,8528, ry: 350,1392, rz: 329,8731, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:59:22, x: 0,1249953, y: 1,179329, z: 0,2121553, rx: 70,45633, ry: 358,0817, rz: 338,5225, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:59:22, x: 0,1236179, y: 1,181688, z: 0,2095466, rx: 68,12874, ry: 0,768565, rz: 341,4925, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:59:22, x: 0,1218505, y: 1,184793, z: 0,2081102, rx: 66,39532, ry: 3,295141, rz: 343,6873, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:59:22, x: 0,1204609, y: 1,187873, z: 0,2049908, rx: 64,33765, ry: 5,555764, rz: 345,661, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:59:22, x: 0,1180851, y: 1,192737, z: 0,2028019, rx: 63,25335, ry: 8,581334, rz: 348,5203, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:59:22, x: 0,1170566, y: 1,19636, z: 0,1998018, rx: 62,07811, ry: 9,803505, rz: 349,5341, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:59:22, x: 0,1157764, y: 1,199753, z: 0,1975219, rx: 60,90678, ry: 10,76537, rz: 350,6133, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:59:22, x: 0,1149691, y: 1,202964, z: 0,194529, rx: 59,19019, ry: 10,22713, rz: 350,6232, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 14:59:22, x: 0,1129692, y: 1,205845, z: 0,1912398, rx: 57,02808, ry: 10,61169, rz: 351,5074, instruction ID: 0, Game state: waiting for user to recenter
