Timestamp: 7-3-2024 15:01:52, x: 0, y: 0, z: 0, rx: 0, ry: 0, rz: 0, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,02523391, y: 1,18317, z: 0,1729892, rx: 31,38992, ry: 17,68659, rz: 11,29754, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,02328178, y: 1,187986, z: 0,1729492, rx: 29,40765, ry: 16,68608, rz: 11,02577, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,02022549, y: 1,196373, z: 0,1719205, rx: 25,61028, ry: 16,1217, rz: 9,826054, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,01900639, y: 1,198857, z: 0,1717567, rx: 24,20655, ry: 15,72741, rz: 9,776056, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,01837611, y: 1,203704, z: 0,1710396, rx: 22,62267, ry: 15,45737, rz: 9,526433, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,0172141, y: 1,208162, z: 0,1713501, rx: 20,13596, ry: 15,20311, rz: 8,933867, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,01664273, y: 1,214438, z: 0,1717782, rx: 18,26174, ry: 14,44141, rz: 8,249852, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,01511546, y: 1,218724, z: 0,1695606, rx: 16,04682, ry: 14,35019, rz: 7,633934, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,01523212, y: 1,224572, z: 0,1672198, rx: 14,1645, ry: 13,7455, rz: 6,628884, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,01445325, y: 1,229449, z: 0,1664058, rx: 11,83122, ry: 13,63927, rz: 6,033142, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,01455722, y: 1,234986, z: 0,1647716, rx: 9,132913, ry: 13,3673, rz: 5,514913, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,0145334, y: 1,240561, z: 0,161767, rx: 6,647864, ry: 12,98904, rz: 5,226182, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,01471884, y: 1,245849, z: 0,1586816, rx: 4,628808, ry: 12,70688, rz: 5,253533, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,01460906, y: 1,249926, z: 0,1562702, rx: 2,478437, ry: 12,74244, rz: 4,530804, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,01651125, y: 1,255006, z: 0,150618, rx: 1,145135, ry: 12,63332, rz: 4,155453, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,01817425, y: 1,259054, z: 0,1467477, rx: 0,02293844, ry: 13,07003, rz: 4,08006, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,01972541, y: 1,263023, z: 0,1425875, rx: 358,6722, ry: 13,42405, rz: 4,041345, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,02157218, y: 1,266489, z: 0,1386511, rx: 357,2941, ry: 13,63995, rz: 3,993697, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,02344079, y: 1,269461, z: 0,1344716, rx: 356,1534, ry: 13,83365, rz: 3,715997, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,02556493, y: 1,272045, z: 0,1303224, rx: 355,3068, ry: 14,08166, rz: 3,361444, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,02788195, y: 1,274096, z: 0,126426, rx: 354,5632, ry: 14,38877, rz: 3,035969, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,03036335, y: 1,275874, z: 0,1227445, rx: 353,9517, ry: 14,70584, rz: 2,697683, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,03286547, y: 1,277349, z: 0,1192313, rx: 353,3317, ry: 15,03907, rz: 2,315425, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,03527971, y: 1,278492, z: 0,1159158, rx: 352,8863, ry: 15,4004, rz: 1,844585, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,03762428, y: 1,279204, z: 0,1128078, rx: 352,586, ry: 15,72915, rz: 1,346197, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,03974565, y: 1,279607, z: 0,1099513, rx: 352,571, ry: 16,04525, rz: 0,8461682, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,04175558, y: 1,279803, z: 0,1072267, rx: 352,6468, ry: 16,30635, rz: 0,3467379, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,0436751, y: 1,279694, z: 0,1047865, rx: 352,9398, ry: 16,51408, rz: 359,8643, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,04532519, y: 1,279267, z: 0,1028303, rx: 352,9854, ry: 16,15556, rz: 359,4676, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,0462063, y: 1,27939, z: 0,1008487, rx: 353,5367, ry: 16,37365, rz: 359,0206, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,04785005, y: 1,278767, z: 0,09906704, rx: 353,853, ry: 16,25798, rz: 358,7177, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,0489094, y: 1,278523, z: 0,09739554, rx: 354,1987, ry: 16,25142, rz: 358,3411, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,04991837, y: 1,27803, z: 0,0960903, rx: 354,4674, ry: 16,28031, rz: 357,9189, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,05083011, y: 1,277551, z: 0,09478885, rx: 354,7373, ry: 16,27048, rz: 357,5005, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,05153873, y: 1,277282, z: 0,09374047, rx: 355,0061, ry: 16,20759, rz: 357,0705, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:53, x: 0,05221821, y: 1,276998, z: 0,09284006, rx: 355,2092, ry: 16,13515, rz: 356,6508, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05294175, y: 1,276576, z: 0,09198249, rx: 355,3979, ry: 16,07106, rz: 356,2335, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,0536324, y: 1,276145, z: 0,0913419, rx: 355,6108, ry: 16,08925, rz: 355,8549, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05433445, y: 1,275535, z: 0,09075892, rx: 355,9054, ry: 16,23228, rz: 355,5657, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05454271, y: 1,275181, z: 0,09047081, rx: 356,2892, ry: 16,41749, rz: 355,434, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,0553748, y: 1,274348, z: 0,08977436, rx: 356,6287, ry: 16,44528, rz: 355,5517, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,0556271, y: 1,273936, z: 0,08964432, rx: 356,948, ry: 16,56336, rz: 355,6663, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05582901, y: 1,273428, z: 0,08930109, rx: 357,2473, ry: 16,655, rz: 355,7939, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05601191, y: 1,272728, z: 0,08928502, rx: 357,5691, ry: 16,74529, rz: 356,0204, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05608821, y: 1,271879, z: 0,08948166, rx: 357,8876, ry: 16,85293, rz: 356,2322, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05605637, y: 1,270918, z: 0,08958314, rx: 358,3907, ry: 16,96942, rz: 356,3064, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,056082, y: 1,26973, z: 0,08973163, rx: 359,0851, ry: 17,06426, rz: 356,4454, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05602424, y: 1,26838, z: 0,089984, rx: 359,8817, ry: 17,14084, rz: 356,6339, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,0557562, y: 1,266878, z: 0,0905467, rx: 0,8168085, ry: 17,16425, rz: 356,8233, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05563522, y: 1,265167, z: 0,09125084, rx: 1,722897, ry: 17,13817, rz: 356,9952, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05530548, y: 1,263343, z: 0,09224303, rx: 2,696748, ry: 17,14964, rz: 357,1246, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05501173, y: 1,261498, z: 0,09292423, rx: 3,780885, ry: 17,12238, rz: 357,2042, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05465917, y: 1,259523, z: 0,09373079, rx: 4,973097, ry: 17,05036, rz: 357,2686, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05428769, y: 1,257312, z: 0,09468273, rx: 6,126339, ry: 16,97693, rz: 357,3009, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05384712, y: 1,254998, z: 0,09592239, rx: 7,260016, ry: 16,85304, rz: 357,3181, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05336908, y: 1,252803, z: 0,0974439, rx: 8,431273, ry: 16,74016, rz: 357,3401, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05337673, y: 1,250669, z: 0,098995, rx: 9,516008, ry: 16,71787, rz: 357,4379, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05349567, y: 1,248916, z: 0,101089, rx: 10,2913, ry: 16,735, rz: 357,6744, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05381983, y: 1,247482, z: 0,1028742, rx: 10,93772, ry: 16,5726, rz: 357,8519, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05432474, y: 1,246135, z: 0,1047418, rx: 11,52484, ry: 16,42179, rz: 358,0025, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05504539, y: 1,244339, z: 0,1067019, rx: 12,14692, ry: 16,40777, rz: 358,1391, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05581699, y: 1,24251, z: 0,1084077, rx: 12,93492, ry: 16,47377, rz: 358,2671, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05669481, y: 1,240547, z: 0,1099214, rx: 13,85452, ry: 16,6506, rz: 358,3465, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05764142, y: 1,238488, z: 0,1113086, rx: 14,89815, ry: 16,83683, rz: 358,3795, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05860739, y: 1,236267, z: 0,1126076, rx: 16,02759, ry: 17,02009, rz: 358,3815, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05953643, y: 1,23385, z: 0,1138916, rx: 17,22841, ry: 17,19346, rz: 358,3303, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05951361, y: 1,234692, z: 0,1158451, rx: 18,79992, ry: 17,59411, rz: 358,5523, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,06044734, y: 1,229023, z: 0,1164492, rx: 19,32508, ry: 18,00896, rz: 359,1913, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,0620029, y: 1,227358, z: 0,1170915, rx: 20,40841, ry: 17,68244, rz: 358,7302, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,06148133, y: 1,225219, z: 0,1179887, rx: 21,19774, ry: 17,94375, rz: 358,4437, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,06189997, y: 1,224617, z: 0,1190419, rx: 22,21811, ry: 17,88476, rz: 358,2141, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,06178689, y: 1,223462, z: 0,1207827, rx: 22,62132, ry: 18,07592, rz: 358,1285, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,06211572, y: 1,222797, z: 0,1217214, rx: 23,01678, ry: 18,22655, rz: 358,2108, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,06217147, y: 1,221419, z: 0,1232218, rx: 23,26767, ry: 18,39048, rz: 358,159, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,06195673, y: 1,220233, z: 0,1240641, rx: 23,6497, ry: 18,47112, rz: 358,266, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,06170113, y: 1,219156, z: 0,1249494, rx: 24,07189, ry: 18,37541, rz: 358,3316, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,06140034, y: 1,218141, z: 0,1259514, rx: 24,4005, ry: 18,2135, rz: 358,3241, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,0611233, y: 1,217334, z: 0,126964, rx: 24,68278, ry: 17,94818, rz: 358,2178, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,06090032, y: 1,21648, z: 0,1279707, rx: 24,91034, ry: 17,65466, rz: 358,1109, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,06067878, y: 1,215618, z: 0,1287682, rx: 25,17084, ry: 17,35194, rz: 358,0074, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,06040008, y: 1,214785, z: 0,1294039, rx: 25,49011, ry: 17,02999, rz: 357,8553, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,06009451, y: 1,213837, z: 0,1298783, rx: 25,8427, ry: 16,71872, rz: 357,6201, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05978865, y: 1,212823, z: 0,1302209, rx: 26,23158, ry: 16,42417, rz: 357,3593, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05948903, y: 1,212022, z: 0,130591, rx: 26,67838, ry: 16,13612, rz: 357,0432, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05918614, y: 1,211257, z: 0,1311831, rx: 27,03135, ry: 15,87643, rz: 356,7169, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05889156, y: 1,210607, z: 0,1318295, rx: 27,30377, ry: 15,59725, rz: 356,3914, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05858249, y: 1,20996, z: 0,1324732, rx: 27,48806, ry: 15,32104, rz: 356,0699, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05818477, y: 1,209454, z: 0,1330269, rx: 27,66752, ry: 15,04463, rz: 355,7728, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05772956, y: 1,209153, z: 0,1336522, rx: 27,80353, ry: 14,82298, rz: 355,5201, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05734809, y: 1,209113, z: 0,1344269, rx: 27,81963, ry: 14,6169, rz: 355,3469, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05695884, y: 1,209145, z: 0,1351645, rx: 27,74221, ry: 14,431, rz: 355,2737, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05652008, y: 1,209229, z: 0,1358, rx: 27,62355, ry: 14,25337, rz: 355,2437, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05605962, y: 1,209554, z: 0,1364146, rx: 27,49106, ry: 14,11259, rz: 355,2916, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05564019, y: 1,210051, z: 0,137043, rx: 27,27381, ry: 13,99062, rz: 355,3708, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05524771, y: 1,210762, z: 0,1377043, rx: 26,95825, ry: 13,87837, rz: 355,4589, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,0548076, y: 1,211696, z: 0,1382774, rx: 26,52741, ry: 13,7795, rz: 355,5257, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05435703, y: 1,212687, z: 0,1387392, rx: 26,0401, ry: 13,72137, rz: 355,5923, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05390202, y: 1,213704, z: 0,1390426, rx: 25,56051, ry: 13,67003, rz: 355,6592, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05350025, y: 1,214942, z: 0,1392315, rx: 25,02665, ry: 13,62825, rz: 355,7168, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,0531043, y: 1,216359, z: 0,1393896, rx: 24,43405, ry: 13,611, rz: 355,769, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05280069, y: 1,217925, z: 0,1394216, rx: 23,75332, ry: 13,59523, rz: 355,8039, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05250213, y: 1,219587, z: 0,1393896, rx: 22,97862, ry: 13,62387, rz: 355,797, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05220597, y: 1,221268, z: 0,1392172, rx: 22,16297, ry: 13,66152, rz: 355,7978, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,0519219, y: 1,223017, z: 0,1389996, rx: 21,33303, ry: 13,71739, rz: 355,8036, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05172154, y: 1,22489, z: 0,1386707, rx: 20,44536, ry: 13,7841, rz: 355,7996, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,0515232, y: 1,226771, z: 0,1382582, rx: 19,53577, ry: 13,8644, rz: 355,7995, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:54, x: 0,05144648, y: 1,228685, z: 0,1376002, rx: 18,62998, ry: 13,95617, rz: 355,8083, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:55, x: 0,05139193, y: 1,230608, z: 0,136877, rx: 17,75849, ry: 14,06521, rz: 355,8368, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:55, x: 0,05136344, y: 1,232443, z: 0,136108, rx: 16,90764, ry: 14,17149, rz: 355,8571, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:55, x: 0,0512925, y: 1,234149, z: 0,1351986, rx: 16,08257, ry: 14,3103, rz: 355,8708, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:55, x: 0,05128512, y: 1,236072, z: 0,1341615, rx: 15,30431, ry: 14,46466, rz: 355,9005, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:55, x: 0,05129491, y: 1,237967, z: 0,1331541, rx: 14,46939, ry: 14,62519, rz: 355,9452, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:55, x: 0,0514245, y: 1,239898, z: 0,1318912, rx: 13,6522, ry: 14,76639, rz: 356,0505, instruction ID: 0, Game state: waiting for user to recenter
Timestamp: 7-3-2024 15:01:55, x: 0,05146079, y: 1,24179, z: 0,1305033, rx: 12,88101, ry: 14,89947, rz: 356,1128, instruction ID: 0, Game state: waiting for user to recenter
