Instruction ID; goal; goal x-position; goal y-position; farthest reached x; farthest reached y; overshoot; time to reach goal; trial contains deviation; deviation goal; deviation goal x; deviation goal y
1;Devation goal -3;-0,1562936;1,105625;-0,1733155;1,104184;1,105155;5,471085;False;;;
2;Devation goal -2;-0,1196146;1,117819;-0,1327105;1,113044;1,118382;1,033195;False;;;
3;Devation goal 3;0,1592961;1,103649;0,1811377;1,107648;1,113837;1,257477;False;;;
4;Devation goal 1;0,08393762;1,13437;0,1033298;1,125429;1,256616;1,190308;False;;;
5;Devation goal 4;0,1973802;1,085548;0,1937633;1,098897;0,9636221;1,285202;False;;;
